nombre_abreviado,tipo1,tipo2,sector,RFOSC,Tipo de organización,forma_org,alcance,alcance_estatal,figura_juridica,centralidad_grado_simple,fortaleza,centralidad_grado_ajustado,centralidad_eigenvalor,centralidad_cercania,centralidad_intermediacion,centralidad_Katz,componente,clustering_local_ponderado,clustering_local,bloque_similaridad_estructural,bloque_similaridad_regular,comunidad_infomap,flujo_en_modulo_infomap,knnw_conectividadProm_colaboradores_(ponderado),knn_conectividadProm_colaboradores
BaseMagAgs,ED,SPB,ED / SPB,No,Paraguas,Económico-gremial,local,Aguascalientes,Desconocida,1,1,1,3.68051497142458E-18,1,0,1.0449320794,6,0,0,,11,,,1,1
BLADP,DD,PF,DD / PF,No,Discreta,Civil,local,Puebla,Desconocida,9,2,4.2426406871,1.27772047962823E-05,67.6992390931,12,304.2477882267,2,0.6428571429,0.6666666667,2,5,11,0.0012012,29.1111111111,38.5
BlqUrbanoPopular,VE,NA,VE,No,Paraguas,Urbano-gremial,local,CDMX,Desconocida,1,1,1,4.37208830820853E-09,67.1623564601,0,3.7375712632,2,0,0,12,21,18,0.000600601,7,3
Brigada68,DD,NA,DD,No,Discreta,Civil,local,Puebla,Informal,6,1,2.4494897428,1.10202663319253E-05,63.307997273,0,124.444525765,2,1,1,2,5,11,0.000600601,20.3333333333,28
CAM,CA,NA,CA,Sí,Paraguas,Económico-gremial,nacional,Nacional,Asociación Civil,8,2,4,8.77698512142355E-08,66.039597441,0,95.2374025033,2,1,1,4,10,7,0.0012012,16.125,41.5
CAP,CA,NA,CA,Sí,Paraguas,Económico-gremial,nacional,Nacional,Asociación Civil,21,6,11.2249721603,4.763113898388E-07,80.3941445651,730,201.5005502698,2,0.2807539683,0.3142857143,4,10,25,0.0036036,14.8095238095,31
CAPR,SI,NA,SI,No,Discreta,Civil,internacional,Internacional,Desconocida,3,1,1.7320508076,1.18443240932442E-09,57.0671471382,0,5.1280829136,2,1,1,13,22,18,0.000600601,6.6666666667,6
CaravanaAyotzinapa,AV,NA,AV,No,Paraguas,Civil,nacional,Nacional,Organización eventual,1,1,1,0.000000107,67.1436493625,0,2.3272608557,2,0,0,14,14,1,0.000600601,3,3
CaravanaMadreTierra,RP,BC,RP / BC,No,Paraguas,Civil,nacional,Nacional,Organización eventual,3,1,1.7320508076,1.65461272291853E-07,69.4290241491,0,17.0089611117,2,1,1,15,14,13,0.000600601,7,9
CaravanaYaquis,RP,BC,RP / BC,No,Paraguas,Indígena,nacional,Nacional,Organización eventual,1,1,1,4.10165538112427E-06,76.1750579941,0,3.8534234413,2,0,0,10,16,26,0.000600601,3,5
CausaIndígena,IN,NA,IN,Sí,Discreta,Indígena,local,Puebla,Asociación Civil,8,1,2.8284271247,1.10135618028922E-07,59.8357291645,0,63.5297465631,2,1,1,2,16,11,0.000600601,17.25,67
CBAEMS-Gro,ED,SPB,ED / SPB,No,Discreta,Económico-gremial,local,Guerrero,Desconocida,2,1,1.4142135624,5.53569038784608E-06,76.2236517655,0,25.8508458059,2,1,1,16,23,1,0.000600601,17.5,96
CCC,CA,NA,CA,Sí,Paraguas,Económico-gremial,nacional,Nacional,Asociación Civil,35,10,18.7082869339,1.99282184107477E-05,98.0846908238,2805.8333333333,517.4002612829,2,0.3547058824,0.2420168067,1,10,5,0.00600601,18,27.3
CCCD-Pue,CA,NA,CA,Sí,Discreta,Económico-gremial,local,Puebla,Asociación Civil,8,1,2.8284271247,2.2248767915545E-08,54.820342482,0,38.6541528086,2,1,1,4,13,8,0.000600601,13.625,27
CCTI,AV,NA,AV,Sí,Matriz,Civil,local,CDMX,Asociación Civil,8,1,2.8284271247,2.22487679253597E-08,54.820342482,0,38.6541528086,2,1,1,4,24,8,0.000600601,13.625,27
CDD,RL,MU,RL / MU,Sí,Discreta,Matriz religiosa,local,CDMX,Asociación Civil,3,1,1.7320508076,1.47220598856983E-17,1.7320508076,0,1.1481056257,4,1,1,,25,,,3,3
CDDH_Fr_JuanLarios,DD,NA,DD,No,Discreta,Civil,local,Coahuila,Asociación Civil,9,2,4.2426406871,2.22503462675853E-08,55.559138607,351,38.7640999042,2,0.4375,0.7777777778,1,5,8,0.0012012,12.1111111111,13.5
CDHTlachinollan,DD,NA,DD,Sí,Discreta,Civil,local,Guerrero,Asociación Civil,3,3,3,1.26920545611364E-05,85.7368926301,351,30.8665315276,2,0.3333333333,0.3333333333,9,3,1,0.0018018,13.6666666667,39
