URL noticia,Palabra clave hallada,Periódico,Fecha de publicación,Título,Estado involucrado,Sección en el diario
http://diario.mx/Local/2016-03-19_1878a5e1/con-marcha-piden-justicia-para-yesenia/,marcha,ElDiarioDeJuarez,19/03/2016,"Con marcha, piden justicia para Yesenia",Chihuahua,local
http://diario.mx/Estado/2016-03-23_32e95628/bloquean-avenidas-en-chihuahua-por-paro-de-camioneros/,bloqueo,ElDiarioDeJuarez,23/03/2016,Bloquean avenidas en Chihuahua por paro de camioneros,Chihuahua,estado
http://diario.mx/Local/2016-03-23_db1c904a/maestra-en-huelga-lleva-protesta-hasta-el-congreso/,protesta,ElDiarioDeJuarez,23/03/2016,Maestra en huelga lleva protesta hasta el Congreso,Chihuahua,local
http://diario.mx/Local/2016-03-28_0ee93ece/gritos-y-empujones-entre-maestros-y-policias-tras-protesta/,protesta,ElDiarioDeJuarez,28/03/2016,Gritos y empujones entre maestros y policías tras protesta,Chihuahua,local
http://diario.mx/Nacional/2016-03-28_db06ae45/protestan-para-exigir-justicia-para-menor-violada-en-veracruz/,protesta,ElDiarioDeJuarez,28/03/2016,Protestan para exigir justicia para menor violada en Veracruz,Veracruz,nacional
http://diario.mx/Local/2016-03-29_5fe3b2a1/retiran-maestros-planton-de-oficinas-de-gobierno/,planton,ElDiarioDeJuarez,29/03/2016,Retiran maestros plantón de oficinas de Gobierno,Chihuahua,local
http://diario.mx/Estado/2016-03-30_bf7892c2/protestan-en-chihuahua-contra-las-corridas-de-toros/,protesta,ElDiarioDeJuarez,30/03/2016,Protestan en Chihuahua contra las corridas de toros,Chihuahua,estado
http://diario.mx/Estado/2016-03-31_ad548246/bloquean-barzonistas-vias-del-ferrocarril-en-cuauhtemoc/,bloqueo,ElDiarioDeJuarez,31/03/2016,Bloquean barzonistas vías del ferrocarril en Cuauhtémoc,Chihuahua,estado
http://eleconomista.com.mx/estados/2016/03/01/ejidatarios-bloquean-aeropuerto-guadalajara,bloqueo,ElEconomista,01/03/2016,Ejidatarios bloquean aeropuerto de Guadalajara,Jalisco,estados
http://eleconomista.com.mx/estados/2016/03/02/bloqueo-aeropuerto-afecta-envios-mercancias,bloqueo,ElEconomista,02/03/2016,Bloqueo en aeropuerto afecta envíos de mercancías,Jalisco,estados
http://eleconomista.com.mx/industrias/2016/03/04/arcelormittal-mexico-se-va-huelga,huelga,ElEconomista,04/03/2016,"ArcelorMittal, a huelga por tiempo indefinido en México",Nuevo León,industrias
http://eleconomista.com.mx/estados/2016/03/06/continua-caos-bloqueo-aeropuerto-tapatio,bloqueo,ElEconomista,06/03/2016,Continúa caos por bloqueo en el aeropuerto tapatío,Jalisco,estados
